Project ID,Compliance Program ID (ARB or Ecology),Project Developer,Project Name,Project Type,Project Methodology/Protocol,Current Crediting Period Start Date,Current Crediting Period End Date,Voluntary Status,Compliance Program Status (ARB or Ecology),Project Status Date,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Current VVB,ACR Project Validation,Total Number of Credits Registered ,Documents,Project Website
ACR815,N/A,Therm Solutions Inc.,Advanced Refrigeration - ARS2022001,Industrial Process Emissions,Advanced Refrigeration Systems,8/27/2022,8/26/2032,Completed,Not ARB or Ecology Eligible,2/8/2023,"543 12th St Dr NW, Hickory, NC 28601, USA",NORTH CAROLINA,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,Ruby Canyon Environment,19002,View,
ACR876,N/A,Therm Solutions Inc.,Advanced Refrigeration - ARS2022002,Industrial Process Emissions,Advanced Refrigeration Systems,7/11/2022,7/10/2032,Completed,Not ARB or Ecology Eligible,9/1/2023,Various,FLORIDA,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,Ruby Canyon Environment,64135,View,
ACR526,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAL - ARS  001B,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,1/1/2016,12/31/2025,Completed,Not ARB or Ecology Eligible,5/4/2021,O'Fallon,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",21141,View,
ACR528,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAL - ARS 002B,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2017,12/31/2026,Completed,Not ARB or Ecology Eligible,5/4/2021,"O'Fallon, MO",MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",41381,View,
ACR530,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAL - ARS 003B,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2018,12/31/2027,Completed,Not ARB or Ecology Eligible,5/4/2021,"O'Fallon, MO",MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",52251,View,
ACR599,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAL - ARS 004B,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2019,12/31/2028,Completed,Not ARB or Ecology Eligible,6/8/2021,Missouri,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",44571,View,
ACR641,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAL - ARS 005B,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2020,12/31/2029,Completed,Not ARB or Ecology Eligible,7/27/2022,Missouri,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",18605,View,
ACR707,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAL - ARS 006B,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2021,12/31/2030,Completed,Not ARB or Ecology Eligible,8/21/2023,Missouri,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",,"First Environment, Inc.",25376,View,
ACR527,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAN - ARS 001C,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2016,12/31/2025,Completed,Not ARB or Ecology Eligible,5/4/2021,O'Fallon,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",17453,View,
ACR529,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAN - ARS 002C,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2017,12/31/2026,Completed,Not ARB or Ecology Eligible,5/4/2021,"O'Fallon, MO",MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",32468,View,
ACR531,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAN - ARS 003C,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2018,12/31/2027,Completed,Not ARB or Ecology Eligible,5/4/2021,"O'Fallon, MO",MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",37043,View,
ACR600,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAN - ARS 004C,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2019,12/31/2028,Completed,Not ARB or Ecology Eligible,6/8/2021,Missouri,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",34725,View,
ACR642,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAN - ARS 005C,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2020,12/31/2029,Completed,Not ARB or Ecology Eligible,7/27/2022,Missouri,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",16102,View,
ACR708,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration CAN - ARS 006C,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2021,12/31/2030,Completed,Not ARB or Ecology Eligible,8/22/2023,Missouri,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",18868,View,
ACR479,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration US49 - ARS 001,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2016,12/31/2025,Completed,Not ARB or Ecology Eligible,5/4/2021,O'Fallon,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",199624,View,
ACR480,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration US49 - ARS 002,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2017,12/31/2026,Completed,Not ARB or Ecology Eligible,5/4/2021,"O'Fallon, MO",MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",324357,View,
ACR481,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration US49 - ARS 003,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2018,12/31/2027,Completed,Not ARB or Ecology Eligible,5/4/2021,"O'Fallon, MO",MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",371461,View,
ACR598,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration US49 - ARS 004,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2019,12/31/2028,Completed,Not ARB or Ecology Eligible,6/8/2021,Missouri,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",401452,View,
ACR640,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration US49 - ARS 005,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2020,12/31/2029,Completed,Not ARB or Ecology Eligible,7/27/2022,Missouri,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",367047,View,
ACR706,N/A,"True Manufacturing Co., Inc.",Advanced Refrigeration US49 - ARS 006,Industrial Process Emissions,Advanced Refrigeration Systems,1/1/2021,12/31/2030,Completed,Not ARB or Ecology Eligible,8/21/2023,Missouri,MISSOURI,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",,"First Environment, Inc.",306989,View,
ACR674,CAMM5674,Keyrock Energy LLC,Affinity Mine Methane Incineration Project,Coal Mine Methane,ARB Compliance Offset Protocol: Mine Methane Capture Projects,12/16/2020,10/31/2030,N/A,Listed - Active ARB Project,10/4/2021,Crab Orchard,WEST VIRGINIA,US,"09: Industry, Innovation and Infrastructure;13: Climate Action",Dillon Consulting Limited,N/A,97187,View,
ACR101,N/A,Katene Kadji,AFOVERT Energy,Fuel Switching,AMS-I.E.: Switch from non-renewable biomass for thermal applications by the user,1/1/2011,12/31/2017,Canceled,Not ARB or Ecology Eligible,3/19/2021,Niono,Niono District,ML,06: Clean Water and Sanitation;07: Affordable and Clean Energy;13: Climate Action;15: Life on Land,,,,View,
ACR102,N/A,Nike,Air Bag Gas Substitution,Industrial Gas Substitution,Emission reductions through industrial gas substitution,1/1/1998,12/31/2005,Completed,Not ARB or Ecology Eligible,5/1/2012,Beaverton,OREGON,US,,ERT,The American Carbon Registry,7984006,View,
